run,house,traj,T,success,has_bar,behavior_class,protr_name,protr_wall,residual_margin,bar_face_y,obj_gap,min_near_overall,min_near_approach,min_near_pregrasp,max_nclose_approach,frac_approach_active,bow_approach_m,approach_contacts,held_contacts,object_name,target_uid
20260612_162142,house_169,traj_12,167,True,True,free,protr_l,right,-0.11898425944306312,0.20578021680927194,0.130182901342405,0.021689770743250847,0.08748749643564224,0.08748749643564224,1,0.08823529411764706,0.007091362024688461,1.0,337.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_162142,house_169,traj_2,58,True,False,free,,,nan,,,0.05244419351220131,0.06784053146839142,0.06784053146839142,1,0.2,0.0043170116593798874,0.0,192.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_162142,house_169,traj_3,62,True,False,free,,,nan,,,0.0223594568669796,0.0223594568669796,0.0223594568669796,1,0.2647058823529412,0.019309660166294984,14.0,197.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_162142,house_169,traj_4,110,True,True,deflect,protr_l,left,-0.08621368417530162,0.23395734604788693,0.1819129244017414,0.0327213890850544,0.04995783418416977,0.05110839009284973,3,0.4024390243902439,0.027393164273220146,7.0,207.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_162142,house_169,traj_5,125,True,True,free,protr_m,right,-0.1631683664901698,0.1730755585367922,0.19790715344452423,0.0327213890850544,0.0327213890850544,0.0327213890850544,2,0.48484848484848486,0.0077088851341551405,0.0,143.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_162142,house_169,traj_6,100,True,True,deflect,protr_s,left,-0.16919016800301617,0.15909705154636825,0.1962738691885908,0.0345182791352272,0.07469943165779114,0.07499345391988754,1,0.4305555555555556,0.035878580184184265,7.0,227.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_162142,house_169,traj_7,103,True,True,deflect,protr_s,left,-0.10123071046447946,0.19110479649568315,0.14121324614828745,0.0345182791352272,0.0345182791352272,0.0345182791352272,2,0.5294117647058824,0.003175853019151853,1.0,83.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_162142,house_169,traj_8,85,False,True,free,protr_l,left,0.023981363867243213,0.2305574282741757,0.19246700908754816,0.09157294034957886,0.09157294034957886,0.10476516932249069,1,0.03125,0.0037030529960010864,1.0,155.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_162142,house_169,traj_9,85,True,True,free,protr_m,right,-0.07818782406731821,0.22342468646670638,0.1934616065600221,0.053703807294368744,0.053703807294368744,0.07375245541334152,2,0.41935483870967744,0.003603564603352981,1.0,110.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_121,traj_0,60,True,False,free,,,nan,,,0.10869971662759781,0.17628464102745056,0.17628464102745056,0,0.0,0.0027796194402198377,0.0,170.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_121,traj_1,61,True,True,free,protr_s,left,-0.04421103362977151,0.21637880216309757,0.19116492916584865,0.07401641458272934,0.08487717062234879,0.14589959383010864,1,0.12121212121212122,0.006268561135836035,0.0,227.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_121,traj_10,77,False,True,free,protr_s,left,-0.08407406629597612,0.1518558365895556,0.17546698949775746,0.020635657012462616,0.020635657012462616,0.020635657012462616,2,0.4857142857142857,0.0037318926629841386,0.0,0.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_121,traj_11,62,True,True,free,protr_m,right,0.012394256434842155,0.2384067281039532,0.15838356959046188,0.0536714643239975,0.09390214085578918,0.09505676478147507,1,0.14705882352941177,0.0034153011710229063,0.0,225.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_121,traj_12,90,False,True,free,protr_s,left,-0.17151868206342236,0.18812859316944786,0.18097016299976676,0.0536714643239975,0.0536714643239975,0.0536714643239975,1,0.027777777777777776,0.00797041775040214,0.0,143.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_121,traj_13,102,True,True,deflect,protr_m,right,0.00899415256096861,0.19244091648808376,0.16973766427214118,0.045064277946949005,0.045064277946949005,0.045064277946949005,1,0.6216216216216216,0.04945976981645294,9.0,226.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_121,traj_14,115,True,True,deflect,protr_l,right,-0.04677175609546652,0.22852709900501367,0.13638071463553905,0.040204718708992004,0.051941677927970886,0.051941677927970886,1,0.4883720930232558,0.06833327687322173,15.0,176.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_121,traj_15,54,False,True,deflect,protr_m,left,-0.05693877295935984,0.22105175473255542,0.13547209062590276,0.040204718708992004,0.040204718708992004,0.040204718708992004,1,0.02702702702702703,0.006635625493088633,0.0,0.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_121,traj_16,61,True,True,free,protr_l,left,-0.07099610005147894,0.20814287824032493,0.15273608017194004,0.020199432969093323,0.0617104172706604,0.06352125108242035,1,0.42424242424242425,0.0026665337162943546,0.0,228.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_121,traj_17,64,True,False,free,,,nan,,,0.02095496468245983,0.02095496468245983,0.02095496468245983,2,0.25,0.003917978006825171,0.0,125.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_121,traj_18,84,True,True,free,protr_s,left,0.027055818869115622,0.20508979442585656,0.1717224498540292,0.020164847373962402,0.020164847373962402,0.022017773240804672,2,0.45454545454545453,0.006907825245453309,1.0,173.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
