link,n_sensors,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_50m,activation_lt_0_20m,activation_lt_0_10m,activation_lt_0_05m,near_saturation_lt_0_05m,raw_frame_activation_lt_0_50m,raw_frame_activation_lt_0_20m,raw_frame_activation_lt_0_10m,raw_frame_activation_lt_0_05m,mean_min_depth_m,std_min_depth_m,p05_min_depth_m,p50_min_depth_m,p95_min_depth_m,min_depth_m,median_within_traj_std_m,median_frame_to_frame_abs_diff_m,success_activation_lt_0_20m,failure_activation_lt_0_20m,success_minus_failure_activation_lt_0_20m,phase_approach_n_frames,phase_approach_n_valid_frames,phase_approach_valid_frame_ratio,phase_approach_activation_lt_0_20m,phase_pregrasp_n_frames,phase_pregrasp_n_valid_frames,phase_pregrasp_valid_frame_ratio,phase_pregrasp_activation_lt_0_20m,phase_grasp_lift_n_frames,phase_grasp_lift_n_valid_frames,phase_grasp_lift_valid_frame_ratio,phase_grasp_lift_activation_lt_0_20m,phase_transit_n_frames,phase_transit_n_valid_frames,phase_transit_valid_frame_ratio,phase_transit_activation_lt_0_20m,phase_place_n_frames,phase_place_n_valid_frames,phase_place_valid_frame_ratio,phase_place_activation_lt_0_20m,phase_spread_active_phase_count,suspicious_self_sensing,suspicious_reason
link1,7,90174,90174,1.0,0.29536229955419524,0.1428682325282232,0.0,0.0,0.0,0.29536229955419524,0.1428682325282232,0.0,0.0,1.0483597046277882,0.6221213245716705,0.18646328151226044,0.9549912810325623,1.765773922204971,0.12061608582735062,0.01202956887961934,0.0002390742301940918,0.14285714285714285,0.14288112424758387,-2.39813904410191e-05,1890,1890,1.0,0.14285714285714285,37982,37982,1.0,0.14285714285714285,50302,50302,1.0,0.14287702278239434,0,0,,,0,0,,,0,False,
link2,7,90174,90174,1.0,0.14984363563776698,0.002739148756847872,0.00073191829130348,2.2179342160711513e-05,2.2179342160711513e-05,0.14984363563776698,0.002739148756847872,0.00073191829130348,2.2179342160711513e-05,1.089159678579077,0.5000135529108195,0.4103936702013016,1.115026593208313,1.8080152332782733,0.012140302918851376,0.12150753679893025,0.001345127820968628,0.003486333161423414,0.001870548454399386,0.001615784707024028,1890,1890,1.0,0.0010582010582010583,37982,37982,1.0,0.004765415196672108,50302,50302,1.0,0.0012723152160947875,0,0,,,0,0,,,0,False,
link3,5,64410,64410,1.0,0.3770066759819904,0.005884179475236765,0.0015370284117373078,0.0001552553951249806,0.0001552553951249806,0.3770066759819904,0.005884179475236765,0.0015370284117373078,0.0001552553951249806,0.8003168116327122,0.4619343514575057,0.328973525762558,0.5868144035339355,1.7102282106876372,0.012140302918851376,0.17958613331988407,0.001517653465270996,0.004938628158844765,0.006983380896424375,-0.0020447527375796097,1350,1350,1.0,0.0022222222222222222,27130,27130,1.0,0.011684482123110948,35930,35930,1.0,0.0016420818257723352,0,0,,,0,0,,,0,False,
link4,5,64410,64410,1.0,0.4221859959633597,0.000807328054649899,0.0,0.0,0.0,0.4221859959633597,0.000807328054649899,0.0,0.0,0.9296717014687158,0.5757058477304504,0.30456413626670836,0.5851580202579498,1.766652363538742,0.12964798510074615,0.1606605661130246,0.002406090497970581,0.0004620938628158845,0.0012086620782272956,-0.0007465682154114111,1350,1350,1.0,0.0014814814814814814,27130,27130,1.0,0.0002580169553999263,35930,35930,1.0,0.0011967715001391594,0,0,,,0,0,,,0,False,
link5,10,128820,128820,1.0,0.3251125601614656,0.11269212855146717,0.040149045179319984,0.010759198882161156,0.010759198882161156,0.3251125601614656,0.11269212855146717,0.040149045179319984,0.010759198882161156,1.2923289010326546,0.7899155640118276,0.11521297395229341,1.659075915813446,2.197270321846008,0.012140302918851376,0.1377014813476306,0.003380909562110901,0.12085198555956679,0.10320631190196408,0.01764567365760271,2700,2700,1.0,0.12,54260,54260,1.0,0.06662366384076668,71860,71860,1.0,0.14720289451711663,0,0,,,0,0,,,0,False,
link6,6,77292,77292,1.0,0.5834497748796771,0.173898980489572,0.04915127050665011,0.017880246338560266,0.017880246338560266,0.5834497748796771,0.173898980489572,0.04915127050665011,0.017880246338560266,0.5787748062513791,0.49627529750613864,0.10110681354999543,0.4315000921487808,1.7298400819301603,0.012140302918851376,0.10560974451829278,0.0017034709453582764,0.16601684717208182,0.18306194393150915,-0.017045096759427336,1620,1620,1.0,0.20308641975308642,32556,32556,1.0,0.12136011795060818,43116,43116,1.0,0.21247332776695427,0,0,,,0,0,,,2,False,
