audit,trajectories_old,trajectories_new,trajectories_delta_new_minus_old,frames_old,frames_new,frames_delta_new_minus_old,sensors_old,sensors_new,sensors_delta_new_minus_old,weighted_sensor_activation_lt_0_20m_old,weighted_sensor_activation_lt_0_20m_new,weighted_sensor_activation_lt_0_20m_delta_new_minus_old,weighted_link5_link6_activation_lt_0_20m_old,weighted_link5_link6_activation_lt_0_20m_new,weighted_link5_link6_activation_lt_0_20m_delta_new_minus_old,target_phase_link5_link6_activation_lt_0_20m_old,target_phase_link5_link6_activation_lt_0_20m_new,target_phase_link5_link6_activation_lt_0_20m_delta_new_minus_old,other_phase_link5_link6_activation_lt_0_20m_old,other_phase_link5_link6_activation_lt_0_20m_new,other_phase_link5_link6_activation_lt_0_20m_delta_new_minus_old,target_minus_other_phase_activation_old,target_minus_other_phase_activation_new,target_minus_other_phase_activation_delta_new_minus_old,suspicious_house_sensor_row_ratio_old,suspicious_house_sensor_row_ratio_new,suspicious_house_sensor_row_ratio_delta_new_minus_old
cleaned_low_surface_mug_scale_audit_14h5_20260605,,170.0,,,12882.0,,29,40,11.0,0.08348667557141387,0.08057560937742586,-0.00291106619398801,0.15217222502620642,0.13564469802825643,-0.016527526997949987,0.2008795265758184,0.13531259911195678,-0.06556692746386161,0.1741307634164777,0.1511574074074074,-0.0229733560090703,0.02674876315934069,-0.015844808295450624,-0.04259357145479131,0.0,0.05,0.05
FrankaSkinPickAndPlaceDataGenConfig_combined_15traj_20260606,15.0,170.0,155.0,3881.0,12882.0,9001.0,29,40,11.0,0.01721467608993642,0.08057560937742586,0.06336093328748944,0.02387712958182753,0.13564469802825643,0.1117675684464289,0.027364864864864825,0.13531259911195678,0.10794773424709196,0.032997987927565336,0.1511574074074074,0.11815941947984207,-0.005633123062700512,-0.015844808295450624,-0.010211685232750112,0.022988505747126436,0.05,0.027011494252873566
FrankaSkinPickAndPlaceOneHouseMugConfig_latest_20260605_194602,15.0,170.0,155.0,3930.0,12882.0,8952.0,29,40,11.0,0.03857579844674226,0.08057560937742586,0.0419998109306836,0.038055895739275064,0.13564469802825643,0.09758880228898137,0.07284453137389646,0.13531259911195678,0.06246806773806032,0.035975609756097524,0.1511574074074074,0.11518179765130988,0.036868921617798936,-0.015844808295450624,-0.05271372991324956,0.029885057471264367,0.05,0.020114942528735635
FrankaSkinPickAndPlacePilotConfig_latest_20260606_122642,15.0,170.0,155.0,3923.0,12882.0,8959.0,29,40,11.0,0.042612434794868155,0.08057560937742586,0.037963174582557706,0.0808832922711926,0.13564469802825643,0.05476140575706383,0.09436878199555682,0.13531259911195678,0.040943817116399966,0.12055498458376152,0.1511574074074074,0.03060242282364589,-0.0261862025882047,-0.015844808295450624,0.010341394292754075,0.0367816091954023,0.05,0.013218390804597704
FrankaSkinPickAndPlacePilotMediumConfig_latest_20260605_232256,15.0,170.0,155.0,3965.0,12882.0,8917.0,29,40,11.0,0.03469458987783591,0.08057560937742586,0.04588101949958995,0.045517041754106646,0.13564469802825643,0.09012765627414979,0.08050678371907419,0.13531259911195678,0.054805815392882595,0.04821412744837359,0.1511574074074074,0.10294327995903382,0.0322926562707006,-0.015844808295450624,-0.04813746456615122,0.020689655172413793,0.05,0.02931034482758621
FrankaSkinProxNecessityPilotConfig,29.0,170.0,141.0,7303.0,12882.0,5579.0,29,40,11.0,0.15804379949228958,0.08057560937742586,-0.07746819011486372,0.20940124760548157,0.13564469802825643,-0.07375654957722513,0.23992605294180683,0.13531259911195678,-0.10461345382985004,0.24799313374059667,0.1511574074074074,-0.09683572633318926,-0.008067080798789844,-0.015844808295450624,-0.00777772749666078,0.21379310344827587,0.05,-0.16379310344827586
