sensor,pixel_u,pixel_v,axial_depth_m,world_x_m,world_y_m,world_z_m
robot_0/link6_sensor_0,0,0,0.5935056,1.0735263493898608,-0.4379999587446344,1.265181613024658
robot_0/link6_sensor_0,1,0,0.5055662,0.9508838371211061,-0.4379999540987295,1.2368626248500374
robot_0/link6_sensor_0,2,0,0.44032368,0.859895015878478,-0.43799997393934664,1.2158526977933182
robot_0/link6_sensor_0,3,0,0.38999537,0.7897059138359115,-0.43799996581597117,1.1996455557849839
robot_0/link6_sensor_0,4,0,0.34999186,0.7339160275321776,-0.43799997108745514,1.1867632954058118
robot_0/link6_sensor_0,5,0,0.31743154,0.6885065950223495,-0.4379999786206019,1.17627795296592
robot_0/link6_sensor_0,6,0,0.29041386,0.6508270636762417,-0.43799998205801155,1.1675774954349367
robot_0/link6_sensor_0,7,0,0.26763457,0.6190585000321542,-0.4379999906591945,1.160241922380664
robot_0/link6_sensor_0,0,1,0.5759885,1.0546795130789177,-0.4379999914722926,1.199248170969433
robot_0/link6_sensor_0,1,1,0.49279964,0.93785597493451,-0.43799998209024316,1.1811669244096363
robot_0/link6_sensor_0,2,1,0.43060783,0.8505189228894834,-0.43799996987116796,1.1676494176889087
robot_0/link6_sensor_0,3,1,0.38235432,0.7827556822859926,-0.43799995829360716,1.1571614278139783
robot_0/link6_sensor_0,4,1,0.34382558,0.7286490808930551,-0.43799996789283435,1.1487871369274292
robot_0/link6_sensor_0,5,1,0.3123509,0.6844486101584478,-0.43799998875171775,1.1419460608026624
robot_0/link6_sensor_0,6,1,0.28615543,0.6476618842660133,-0.4379999584686016,1.1362524234582734
robot_0/link6_sensor_0,7,1,0.26401383,0.6165680201063677,-0.4379999738956931,1.131439907261522
robot_0/link6_sensor_0,0,2,0.5594756,1.0369131995662757,-0.43799997644002003,1.1370951451328195
robot_0/link6_sensor_0,1,2,0.48066193,0.9254698200444053,-0.4379999826587751,1.128214785518398
robot_0/link6_sensor_0,2,2,0.42131147,0.8415476593353737,-0.43799995921535695,1.1215274460900757
robot_0/link6_sensor_0,3,2,0.37500697,0.7760725930637213,-0.4379999763357088,1.1163100721837191
robot_0/link6_sensor_0,4,2,0.3378728,0.7235645017397676,-0.43799995487370663,1.1121259620403616
robot_0/link6_sensor_0,5,2,0.30743027,0.6805184398799923,-0.4379999464233816,1.1086958363913622
robot_0/link6_sensor_0,6,2,0.28202012,0.6445882046388957,-0.4379999643621318,1.1058327413148532
robot_0/link6_sensor_0,7,2,0.26048973,0.6141440215214486,-0.4379999470419714,1.1034067937597296
robot_0/link6_sensor_0,0,3,0.31337535,0.7985061771689017,-0.3339999498645356,1.060527085592444
robot_0/link6_sensor_0,1,3,0.46910778,0.9136791657944421,-0.4379999964760017,1.0778083815716917
robot_0/link6_sensor_0,2,3,0.41240805,0.8329555936811625,-0.43799996660996343,1.0773548398667743
robot_0/link6_sensor_0,3,3,0.36793664,0.769641478755171,-0.43799996853774525,1.0769991164573445
robot_0/link6_sensor_0,4,3,0.33212268,0.7186530143235564,-0.43799997089377307,1.076712643491668
robot_0/link6_sensor_0,5,3,0.30266234,0.6767102228779479,-0.43799996771886585,1.0764769918068038
robot_0/link6_sensor_0,6,3,0.27800262,0.6416020915686149,-0.43799996142790354,1.0762797394450723
robot_0/link6_sensor_0,7,3,0.2570585,0.6117838925692052,-0.43799994288491595,1.0761122060538624
robot_0/link6_sensor_0,0,4,0.30554187,0.7900000596016779,-0.3343075994486484,1.0285288229803766
robot_0/link6_sensor_0,1,4,0.45809606,0.9024420475260971,-0.43800000631535774,1.0297684312466968
robot_0/link6_sensor_0,2,4,0.40387315,0.8247191490269237,-0.4379999667516382,1.0350105618815946
robot_0/link6_sensor_0,3,4,0.36112797,0.763448373578453,-0.4379999553635386,1.0391430575316556
robot_0/link6_sensor_0,4,4,0.326565,0.7139058965737011,-0.43799997947143887,1.0424845240451124
robot_0/link6_sensor_0,5,4,0.29804003,0.673018314042021,-0.43799997323801887,1.0452422460233246
robot_0/link6_sensor_0,6,4,0.27409798,0.6386998641148899,-0.4379999647089396,1.047556903097448
robot_0/link6_sensor_0,7,4,0.2537165,0.6094851357655331,-0.43799994796357344,1.0495273315430351
robot_0/link6_sensor_0,0,5,0.30656198,0.7900000713583077,-0.3386354442556918,0.9970076854637155
robot_0/link6_sensor_0,1,5,0.44758943,0.8917203613047955,-0.43800000142923945,0.9839321123154673
robot_0/link6_sensor_0,2,5,0.39568436,0.8168167212249534,-0.4379999804639114,0.9943834003455245
robot_0/link6_sensor_0,3,5,0.35456675,0.7574803388596658,-0.4379999690829688,1.0026625924716122
robot_0/link6_sensor_0,4,5,0.3211902,0.7093150094823946,-0.43799995366523936,1.009383090009739
robot_0/link6_sensor_0,5,5,0.29355678,0.6694374734796751,-0.43799997524693657,1.0149471939949468
robot_0/link6_sensor_0,6,5,0.27030152,0.6358780420508909,-0.4379999839199925,1.0196297341069023
robot_0/link6_sensor_0,7,5,0.2504603,0.6072453916635243,-0.43799997033520166,1.0236248413039748
robot_0/link6_sensor_0,0,6,0.50191826,0.9749868338046691,-0.43799998374607946,0.9204537617743063
robot_0/link6_sensor_0,1,6,0.43755394,0.8814794633145722,-0.43799999823123925,0.9401512024524518
robot_0/link6_sensor_0,2,6,0.38782102,0.8092283583564945,-0.43799997769877574,0.9553709870444566
robot_0/link6_sensor_0,3,6,0.34823966,0.7517252707178652,-0.43799995697030414,0.9674840838237154
robot_0/link6_sensor_0,4,6,0.31598952,0.7048728253492252,-0.4379999654561478,0.9773536080265983
robot_0/link6_sensor_0,5,6,0.28920642,0.6659627710087332,-0.4379999849700744,0.9855500571988577
robot_0/link6_sensor_0,6,6,0.26660874,0.6331332960012864,-0.4379999580202313,0.992465627785817
robot_0/link6_sensor_0,7,6,0.24728659,0.605062396529032,-0.4379999639706351,0.9983787966088653
robot_0/link6_sensor_0,0,7,0.16863394,0.657187780827891,-0.27717757163384876,0.9799999471426174
robot_0/link6_sensor_0,1,7,0.1744359,0.6498404799341182,-0.2926320895295591,0.9799999496837224
robot_0/link6_sensor_0,2,7,0.18065134,0.6419695962323844,-0.3091879525666027,0.9799999488758392
robot_0/link6_sensor_0,3,7,0.18732606,0.6335170724346766,-0.3269672228648819,0.9799999523759945
robot_0/link6_sensor_0,4,7,0.19451296,0.624415990899557,-0.3461107369560761,0.9799999495137077
robot_0/link6_sensor_0,5,7,0.20227334,0.6145887130826136,-0.3667817725997212,0.9799999442307666
robot_0/link6_sensor_0,6,7,0.21067864,0.6039446875032758,-0.38917071988143603,0.9799999470293832
robot_0/link6_sensor_0,7,7,0.2198128,0.5923777125671602,-0.41350107151425475,0.9799999438858501
robot_0/link6_sensor_1,0,0,1.8461658,0.6222069316819568,-1.3266643503605016,2.779999779605161
robot_0/link6_sensor_1,1,0,1.8368667,0.4532958600794608,-1.2315765892830253,2.779999958787571
robot_0/link6_sensor_1,2,0,1.8276607,0.2860778664355594,-1.137441811652719,2.7799999267926703
robot_0/link6_sensor_1,3,0,1.8185467,0.12052761719503491,-1.0442460053497724,2.7800000930244915
robot_0/link6_sensor_1,4,0,1.8095227,-0.04337964138688738,-0.9519749275157374,2.779999951988237
robot_0/link6_sensor_1,5,0,1.800588,-0.20566828472417387,-0.8606150755944774,2.779999864122118
robot_0/link6_sensor_1,6,0,1.7917414,-0.36636228911542246,-0.770153091902415,2.780000058809099
robot_0/link6_sensor_1,7,0,1.7829808,-0.5254847461856633,-0.6805755501512304,2.7799998349532826
robot_0/link6_sensor_1,0,1,2.013833,0.5709818297567724,-1.5525343400980816,2.779999760883339
robot_0/link6_sensor_1,1,1,2.0027733,0.38709596250316336,-1.4476177487364652,2.7799999406786564
robot_0/link6_sensor_1,2,1,1.9918342,0.20521884422383904,-1.3438471414650688,2.7799999691256954
robot_0/link6_sensor_1,3,1,1.981014,0.025317731057907134,-1.241204029638376,2.780000101535541
robot_0/link6_sensor_1,4,1,1.9703106,-0.15263934525647394,-1.139669953295866,2.7800000471307387
robot_0/link6_sensor_1,5,1,1.9597223,-0.32868378987069224,-1.0392272125111142,2.7800000940979164
robot_0/link6_sensor_1,6,1,1.9492469,-0.5028461120587744,-0.9398581232501027,2.7799998770980285
robot_0/link6_sensor_1,7,1,1.9388833,-0.6751566519937847,-0.8415458590072358,2.7800000350532077
robot_0/link6_sensor_1,0,2,2.2149975,0.5095228637796696,-1.823529366756503,2.7799999204297157
robot_0/link6_sensor_1,1,2,2.2016249,0.30775033687372333,-1.7065595123526767,2.779999863154083
robot_0/link6_sensor_1,2,2,2.188413,0.10839949656995257,-1.590993678139941,2.7799999566347156
robot_0/link6_sensor_1,3,2,2.1753585,-0.08857299812258174,-1.476806574849498,2.7800000258371713
robot_0/link6_sensor_1,4,2,2.162459,-0.283209430695446,-1.363973647881772,2.780000025527822
robot_0/link6_sensor_1,5,2,2.1497114,-0.4755511360205229,-1.2524710194014448,2.78000004583815
robot_0/link6_sensor_1,6,2,2.1371133,-0.6656384908284433,-1.1422753211368732,2.7800001279338167
robot_0/link6_sensor_1,7,2,2.124662,-0.853510773531395,-1.0333635966654569,2.7800000730065753
robot_0/link6_sensor_1,0,3,2.2079809,0.43044179895916573,-1.950000003835688,2.605115145266145
robot_0/link6_sensor_1,1,3,2.3489237,0.2181223538683646,-1.9499997939974598,2.7135705096639224
robot_0/link6_sensor_1,2,3,2.428042,-0.009623089051942812,-1.892264775958745,2.7799998875834504
robot_0/link6_sensor_1,3,3,2.4119828,-0.2272406411402682,-1.7636644460288737,2.780000052594195
robot_0/link6_sensor_1,4,3,2.3961344,-0.44199835066114046,-1.6367539049064366,2.780000020828164
robot_0/link6_sensor_1,5,3,2.380493,-0.6539522853916632,-1.511500278181454,2.780000015901055
robot_0/link6_sensor_1,6,3,2.3650541,-0.8631568656459095,-1.3878711855872494,2.7799998470188587
robot_0/link6_sensor_1,7,3,2.3498147,-1.0696655385802574,-1.2658355284450857,2.7799999340865105
robot_0/link6_sensor_1,0,4,2.0564232,0.35473840714403126,-1.9500000707490732,2.342422839195545
robot_0/link6_sensor_1,1,4,2.1781483,0.1533742930798441,-1.9500002277689217,2.4274439490829245
robot_0/link6_sensor_1,2,4,2.31519,-0.07332812782170794,-1.9500001040750694,2.5231633343739226
robot_0/link6_sensor_1,3,4,2.4706345,-0.33047267750205667,-1.9500002132613394,2.6317363156299027
robot_0/link6_sensor_1,4,4,2.6484547,-0.6246324270627629,-1.950000392081967,2.755938095096064
