training_seed,scene_id,ACT_task_success,ACT_collision_free_task_success,ACT_pickup_failure,ACT_failure_stage,ACT_union_frames,PACT-Finetune_task_success,PACT-Finetune_collision_free_task_success,PACT-Finetune_pickup_failure,PACT-Finetune_failure_stage,PACT-Finetune_union_frames,PACT-Frozen_task_success,PACT-Frozen_collision_free_task_success,PACT-Frozen_pickup_failure,PACT-Frozen_failure_stage,PACT-Frozen_union_frames
3103,e241219af8a959f00747c188e18d47e0cb97f440b290bf026eeb33eeefd9b692,False,False,True,touched_without_hold,15793,False,False,False,no_target_interaction,2994,False,False,False,no_target_interaction,5692
3103,fecc06a7e3f15eecc7f68a0d5344cfa1806f17d55033aa9198bfcae6a8994729,True,True,False,success,0,True,True,False,success,0,True,True,False,success,0
3103,ff32f65d5f0953272db5f1550844e54273ebfd4d9cb19c4160756821c23c95f9,False,False,False,no_target_interaction,28790,False,False,False,no_target_interaction,4158,False,False,False,no_target_interaction,12722
3104,018fa741fcfb4e08480be5079c183a596fd44c73e98f29354ad151439eee8f74,True,False,False,success,5,True,False,False,success,5,False,False,True,touched_without_hold,5
3104,02a8d425ccfdbf5b2d8c3901ae649aa097d021f65d12f1dae0214e268bc775a9,True,False,False,success,135,True,True,False,success,0,True,True,False,success,0
3104,087e3e01ba4383b2527036497f7f7e65f2670b6ad679ec3a88ac88d48de74707,False,False,False,no_target_interaction,9590,False,False,False,lifted_without_placement,0,True,False,False,success,491
3104,0ab803a0179303eed5d00cb9c18d7531ade94e3bf9cd4698fe6ef0c50961f789,True,True,False,success,0,True,False,False,success,216,False,False,True,touched_without_hold,0
3104,161209836332d0b752bbcc085d93a5a96a8f3f6af177c46d709d1d0781df9bfe,False,False,False,no_target_interaction,2468,False,False,True,touched_without_hold,404,False,False,False,held_without_lift,0
3104,1723cdbb88b6cead3234707309a91a2fe916b94500c37771c9637ee597641fae,False,False,True,touched_without_hold,0,True,True,False,success,0,False,False,False,lifted_without_placement,18566
3104,19fff330c752ae5d5098945786625dc1b0a7267dcc96a7144d35fe9d3d60d008,True,True,False,success,0,True,True,False,success,0,True,False,False,success,11350
3104,1dafe376e7032da177119894b58cb1dfa7ab6a99e7fed721359e61c59781149c,True,True,False,success,0,True,False,False,success,9,True,True,False,success,0
3104,1e897063291fac78e63058ecc6f86f7154bc6caf30b6ddf258b50dff60601d8e,True,True,False,success,0,True,True,False,success,0,False,False,True,touched_without_hold,0
3104,214634d2107369bfbf9645c40166282dc8473f1c5405373ca069272a04473311,False,False,False,no_target_interaction,2996,False,False,True,touched_without_hold,0,True,False,False,success,1112
3104,2158f84ee19c3a497d0ddd7c0218a12a141f9d6fe5ea4cc778ed7748fc3c77e6,False,False,False,no_target_interaction,27205,False,False,False,no_target_interaction,2595,False,False,False,no_target_interaction,2763
3104,228610657102c64a8508aca9b7df8c20763ac3ad20e07363d582e59e942215e7,False,False,False,no_target_interaction,6783,False,False,False,lifted_without_placement,0,True,True,False,success,0
3104,244723319760dcd8a6a9d3881e4400ed3c6a0b6baf03c48afaa99258769cc731,True,False,False,success,624,False,False,False,lifted_without_placement,0,False,False,False,lifted_without_placement,0
3104,270f8c22c054325561b4085094a80ed2b70be1e86b88836baa89a46732b8720e,True,True,False,success,0,True,True,False,success,0,False,False,False,supported_without_final_success,0
3104,27fd25ab7552e2c64a6c9bcd15b338beb702f64d407ae15eeff0569817c51f3a,False,False,True,touched_without_hold,0,False,False,False,held_without_lift,272,False,False,True,touched_without_hold,12
3104,285217c4a0fcff2bb81c5dc3885ba9418c6ad82742b8bec50ebcd6af4df7a467,False,False,True,touched_without_hold,0,True,False,False,success,327,True,True,False,success,0
3104,325a420c3cddd99b7fa146cca1bde500d198cbd9db4c1c4f8c788ce2b3781308,False,False,False,no_target_interaction,28037,False,False,False,no_target_interaction,3027,False,False,False,no_target_interaction,3205
3104,32da0d3b4fd0c1d858eb4de70bb90d2dcf2fb85b839fdb7e6e0309fdb3164f58,True,True,False,success,0,True,True,False,success,0,True,False,False,success,98
3104,388950fbec006e49c908b614b46bc8600cd6a53896911915d538784767e93a86,True,False,False,success,579,True,True,False,success,0,False,False,True,touched_without_hold,3
3104,3cf62e214f1f7ef64db95c28f746d24ca8b1a5c24129e8f097f8e9cabf40ad19,True,False,False,success,1943,True,False,False,success,1517,True,True,False,success,0
3104,46146eec4fc59c9f16f1f6e587acd9abc5f898db5e5baa7cbfa9d406c05d0262,True,True,False,success,0,False,False,True,touched_without_hold,0,True,False,False,success,57
3104,4a1536e7fd8f6b8709028bd22ff71deabbefff7410c1f4ab14a77bd545a38a62,False,False,False,no_target_interaction,2654,False,False,False,no_target_interaction,2976,False,False,False,no_target_interaction,1388
3104,5d38f87da4547184133a1b6f83836477b50f301362dbc2a01eb68048e52fa3f7,False,False,False,no_target_interaction,4261,False,False,False,lifted_without_placement,1694,False,False,False,lifted_without_placement,0
3104,66a75c9305f12647ba7b70728ecb86b4dfb6af5f39aa0a74aa6768b3c6aed84a,False,False,False,no_target_interaction,4728,True,False,False,success,652,False,False,False,no_target_interaction,4203
3104,6a37794452aca5d974deb17f835b55536f822265605838dba356db4e43efc0df,False,False,True,touched_without_hold,0,True,True,False,success,0,False,False,False,held_without_lift,0
3104,723a0967a748c99c51770342810e5ba7fed07881a5193fd9d1f8cb7fb7931e13,True,True,False,success,0,True,True,False,success,0,False,False,True,touched_without_hold,0
3104,7e6f517ab219fe48ae4271ac57bb75fcffba83a73b50d8dd78bde8b1219ccd1a,False,False,False,no_target_interaction,4791,False,False,False,no_target_interaction,5454,False,False,False,no_target_interaction,4173
3104,8276af9a6a42db1eca2713db6b726782703551e362195a8962bdede70d5d78c2,True,False,False,success,10,True,True,False,success,0,True,False,False,success,172
3104,8387debaa6ec0a5f7353f33baeca8566e751b02466ffbc1ffbdcd4e8eec42f25,False,False,False,no_target_interaction,11431,False,False,False,held_without_lift,123,True,False,False,success,2
3104,841e0d0c2905837e69eb8fda7cd97c19985d4621887e36b6e0d41f9ec781db40,True,True,False,success,0,False,False,True,touched_without_hold,0,True,False,False,success,247
3104,8589135daf9e22c03cf9bb21283e1c36de5c3bacc0185aa0fcd7e022a1eedba5,True,True,False,success,0,True,True,False,success,0,False,False,True,touched_without_hold,0
3104,88b0291ec06e711a65bff71960b265a2e8f2f9c690a2891e487329ff15e18085,False,False,True,touched_without_hold,0,True,True,False,success,0,True,True,False,success,0
3104,8eb3ae0d26b2669ddff74526de3533214872603c87d69ad91c51ff388ee4a5d0,False,False,True,touched_without_hold,0,True,True,False,success,0,False,False,True,touched_without_hold,0
3104,92f95cd236f80b07c9e1dd705d72ad37532ed7b5cb64774587645ee50b32df0a,True,False,False,success,10,False,False,False,lifted_without_placement,781,False,False,True,touched_without_hold,14
3104,93cb60c3de7743f97c670dd14629678476f6c54c459c1db3ac1e92565699c41d,False,False,False,no_target_interaction,3852,False,False,True,touched_without_hold,0,True,True,False,success,0
3104,98c64a358f22eddaba4754f97d40325e9f3e9151f6968d553123681be884a33f,True,True,False,success,0,True,True,False,success,0,False,False,True,touched_without_hold,0
3104,9b01aac8c54f17b4e9448e8f0bd15f4e523908c3ad367f91b6d50acd290f6602,True,True,False,success,0,True,True,False,success,0,True,True,False,success,0
3104,9c88f1ca628e69818819819ea663bf955594e0a6c3c9729e1e8cfd13a4aa7ebd,True,True,False,success,0,False,False,False,supported_without_final_success,0,True,True,False,success,0
3104,a6f64910fbd91d4b3e9ac8b2ca97c5cf4a844582f667f3ccb71291ff5b08f96a,False,False,False,no_target_interaction,8948,False,False,False,no_target_interaction,10516,False,False,False,no_target_interaction,0
3104,c28243c284879a23c7b5998b8da98f902c2d57ba0764a5c0f229ea57fbd64afc,False,False,False,lifted_without_placement,0,True,True,False,success,0,False,False,True,touched_without_hold,0
3104,c64036ce2fc9d9d1c3659d0497d25a5c58e7647f550680e2965968a32ec16d2e,False,False,False,no_target_interaction,21507,False,False,False,no_target_interaction,741,False,False,True,touched_without_hold,3361
3104,d8c8cdb8586ad1f3a14f938579dc31fb623951d0443b299d5f89220636c5dbd6,False,False,True,touched_without_hold,6820,False,False,True,touched_without_hold,269,False,False,True,touched_without_hold,670
3104,d9f515cc3899771561d7e33914535e816e50d9a68bd94f2e64fa51bfbb7980ef,False,False,True,touched_without_hold,0,False,False,False,no_target_interaction,0,False,False,True,touched_without_hold,0
3104,de2bf54be9efb9df226e78b507a6dc4c048936ac9be3aa55b4c822a2ce82d2e9,False,False,True,touched_without_hold,0,False,False,False,lifted_without_placement,91,False,False,True,touched_without_hold,0
3104,e14da997d98756b3d903124da017e6f93c17b69f20c18731247a70fcdafc159d,True,True,False,success,0,True,True,False,success,0,False,False,True,touched_without_hold,0
3104,e5c69acffa4c490767df30949c02c5b1258a981def2fe41c836cd00681d680f1,False,False,False,no_target_interaction,27706,False,False,False,no_target_interaction,0,False,False,False,no_target_interaction,0
3104,ee3ffe52ac32aaec6511e3760855bc2ecbcecbcf94013ee4b5a15f582d8164bb,False,False,True,touched_without_hold,0,True,False,False,success,446,True,True,False,success,0
3104,f2e730046a5ca84b510fb6564f0bddd9c478993702812128bf246c45c3a8cd8d,False,False,True,touched_without_hold,2053,True,True,False,success,0,True,False,False,success,312
3104,f5ba7cddb37b7dff78f2db1fa634703e54fa83e153accb400c7a2f73d8564a7b,True,True,False,success,0,True,False,False,success,214,False,False,True,touched_without_hold,0
3104,f7576495b092b1fbbc5cd4fe69d36176d4496863efcd139bdddf8739c0178d11,False,False,True,touched_without_hold,0,False,False,True,touched_without_hold,0,False,False,True,touched_without_hold,0
3105,0f25bb0b1a72d962671d75fd44b7551c352e8528bcae9acf9ba8588d483c18f3,False,False,False,no_target_interaction,2169,False,False,False,held_without_lift,0,False,False,True,touched_without_hold,0
3105,159e7dcc34082a2d719b43ba7c5216c5292f9b6f6bed5e28d8ba269c32c27a7c,True,True,False,success,0,True,True,False,success,0,True,True,False,success,0
3105,181b6dbeb5644375cfd9ffd0e09e63d503839f9ed534fdbc47e7a1d80f46c680,True,True,False,success,0,True,True,False,success,0,True,True,False,success,0
3105,1e71657b49691350a0dee1a910f0025f820dfd5ae25c2d43193f7aa85adf35c0,False,False,False,no_target_interaction,2263,False,False,True,touched_without_hold,0,True,True,False,success,0
3105,22122aa581d2b794118044cf7dcd2ac4c133183a9f13840bcafa628cdb0ad92a,True,False,False,success,9,True,False,False,success,9,True,False,False,success,9
3105,2ece7101c50d1c9b6dd015a86b010abd1b6a930710b660c7e2529a0e09d63afe,True,True,False,success,0,True,True,False,success,0,True,True,False,success,0
3105,2fb0de17efcf7b24d64ddd9be8e5711dc973bb6ad6529a29d3e7dd20cbc759e4,True,True,False,success,0,True,True,False,success,0,False,False,True,touched_without_hold,354
3105,3e0486b142e7abfe31573d8bc245f5c3d33ce018167ee222f38898b6dbe4d30a,True,True,False,success,0,True,True,False,success,0,True,True,False,success,0
3105,3f0fe0fd71a9a17b8eb190b365571c008f19e946d1c99878a3faa074c88c58bc,True,True,False,success,0,True,True,False,success,0,True,True,False,success,0
3105,4323350ee443e631bbe751d18ec7bbb9040265c8c778b95ad6fb6e182bc68ca2,True,False,False,success,717,True,False,False,success,1661,True,False,False,success,90
3105,44f862fbe86c37af9afbb19344cb967d8e8800547b5acd09cafd61e985d06c30,False,False,False,no_target_interaction,0,False,False,True,touched_without_hold,0,False,False,False,lifted_without_placement,0
3105,45066351d4b96cb28d37ea54eb79e1b5d40c96a8bb2ac1006a53aa9753670b59,True,True,False,success,0,True,True,False,success,0,True,True,False,success,0
3105,45417dd4a07052b491ae9486014a209c52511c0a18a8e992c4f97fadca78490c,True,True,False,success,0,True,False,False,success,31,True,True,False,success,0
3105,47915cacf674f53aeb19eff65ed891684af8bdec17ae5e3a0e52568feeb980e9,False,False,True,touched_without_hold,0,True,False,False,success,2568,True,False,False,success,585
3105,51dbad6916ff98a592b173c58b712502b3bee7a791a8fef8be6494506b2126d1,True,False,False,success,416,False,False,False,lifted_without_placement,281,True,False,False,success,668
3105,5704c1ef52984f5505a1cf2e45c196a097e07bc49b13f6785c473f9d7c668256,False,False,False,no_target_interaction,4042,False,False,True,touched_without_hold,0,True,True,False,success,0
3105,57596f17a8645b173e9d40190dca1535983dd4bdedd69a39dbfc8aecaee6b26b,False,False,True,touched_without_hold,0,False,False,True,touched_without_hold,0,False,False,False,held_without_lift,211
3105,59ef1ebbdc7b47d0f40f87abbc75120cf78f92da767b663aad1c75c261387c92,True,False,False,success,343,True,False,False,success,264,True,True,False,success,0
3105,6029313cdfe72b2d76047e6b0090783bbff77f3b84c9cae9abb814266e243d23,True,False,False,success,417,False,False,False,lifted_without_placement,542,False,False,False,lifted_without_placement,5377
3105,626ce9ab3bb418f1b0e2c3b2736fb67579dbe7eb3aa5d25a377ffabc638fc7e1,False,False,False,no_target_interaction,2128,False,False,False,no_target_interaction,3238,True,True,False,success,0
3105,63744263f485964f77d7d454d033bf38fa56f0cd289967cc1e28a754252c8d09,True,True,False,success,0,True,False,False,success,586,True,False,False,success,9
