time_s,contact_count,normal_force_N,arm_tracking_error_rad
0.0,0,0,0.006522908998724641
0.002,0,0,0.006525857208007504
0.004,0,0,0.0065345792743115826
0.006,0,0,0.006548992574228299
0.008,0,0,0.006569037958727249
0.01,0,0,0.006594681943929861
0.012,0,0,0.006625915399261532
0.014,0,0,0.006662750677336789
0.016,0,0,0.006705218100438254
0.018000000000000002,0,0,0.006753362246926178
0.02,0,0,0.006807238262065216
0.022,0,0,0.00686690831472771
0.024,0,0,0.006932438271650601
0.026000000000000002,0,0,0.007003894635495168
0.028,0,0,0.007081341778303811
0.03,0,0,0.007164839491974281
0.032,0,0,0.007254440869237739
0.034,0,0,0.007350190521205925
0.036000000000000004,0,0,0.007452123130496349
0.038,0,0,0.007560262332261981
0.04,0,0,0.007674619909241865
0.042,0,0,0.007795195281518729
0.044,0,0,0.007921975267068365
0.046,0,0,0.008054934085683226
0.048,0,0,0.008194033576408459
0.05,0,0,0.008339223597325831
0.052000000000000005,0,0,0.008490442576265682
0.054,0,0,0.008647618181712148
0.056,0,0,0.008810668084684937
0.058,0,0,0.00897950078450862
0.06,0,0,0.009154016474002883
0.062,0,0,0.009334107922523108
0.064,0,0,0.0095196613583469
0.066,0,0,0.00971055733494215
0.068,0,0,0.009906671568615666
0.07,0,0,0.01010787573782044
0.07200000000000001,0,0,0.010314038236885387
0.074,0,0,0.010525024879213347
0.076,0,0,0.010740699546892767
0.078,0,0,0.010960924785326565
0.08,0,0,0.011185562342819817
0.082,0,0,0.011414473656148132
0.084,0,0,0.01164752028395431
0.08600000000000001,0,0,0.011884564290453873
0.088,0,0,0.012125468582345363
0.09,0,0,0.012370097202109569
0.092,0,0,0.01261831558102863
0.094,0,0,0.012869990755289653
0.096,0,0,0.013124991548526189
0.098,0,0,0.01338318872402078
0.1,0,0,0.013644455109676153
0.10200000000000001,0,0,0.013908665698680423
0.10400000000000001,0,0,0.014175697728590281
0.106,0,0,0.014445430741369144
0.108,0,0,0.014717746626697677
0.11,0,0,0.014992529650672578
0.112,0,0,0.015269666471815567
0.114,0,0,0.01554904614611762
0.116,0,0,0.015830560122670048
0.11800000000000001,0,0,0.016114102231263895
0.12,0,0,0.0163995686631883
0.122,0,0,0.016686857946309436
0.124,0,0,0.016975870915395517
0.126,0,0,0.017266510678520613
0.128,0,0,0.017558682580292303
0.13,0,0,0.01785229416253407
0.132,0,0,0.01814725512299023
0.134,0,0,0.018443477272527306
0.136,0,0,0.018740874491249594
0.138,0,0,0.019039362683889696
0.14,0,0,0.01933885973477236
0.14200000000000002,0,0,0.019639285462613544
0.14400000000000002,0,0,0.019940561575377273
0.146,0,0,0.02024261162536665
0.148,0,0,0.02054536096471155
0.15,0,0,0.020848736701376727
0.152,0,0,0.021152667655789187
0.154,0,0,0.021457084318181715
0.156,0,0,0.021761918806708924
0.158,0,0,0.022067104826391393
0.16,0,0,0.022372577628934215
0.162,0,0,0.022678273973438186
0.164,0,0,0.02298413208803303
0.166,0,0,0.023290091632438975
0.168,0,0,0.023596093661467785
0.17,0,0,0.023902080589455053
0.17200000000000001,0,0,0.02420799615563093
0.17400000000000002,0,0,0.02451378539040635
0.176,0,0,0.024819394582578005
0.178,0,0,0.025124771247427524
0.18,0,0,0.025429864095702043
0.182,0,0,0.025734623003459845
0.184,0,0,0.026038998982760863
0.186,0,0,0.026342944153180226
0.188,0,0,0.026646411714128078
0.19,0,0,0.02694935591795178
0.192,0,0,0.027251732043798237
0.194,0,0,0.027553496372220328
0.196,0,0,0.027854606160498455
0.198,0,0,0.02815501961866359
0.2,0,0,0.028454695886193048
0.202,0,0,0.02875359500936754
0.20400000000000001,0,0,0.029051677919260045
0.20600000000000002,0,0,0.02934890641034213
0.20800000000000002,0,0,0.029645243119690197
0.21,0,0,0.02994065150676327
0.212,0,0,0.03023509583374775
0.214,0,0,0.03052854114643809
0.216,0,0,0.030820953255646155
0.218,0,0,0.03111229871911542
0.22,0,0,0.031402544823929
0.222,0,0,0.03169165956939043
0.224,0,0,0.031979611650369937
0.226,0,0,0.03226637044109166
0.228,0,0,0.03255190597935484
0.23,0,0,0.032836188951174745
0.232,0,0,0.0331191906758255
0.234,0,0,0.03340088309127772
0.23600000000000002,0,0,0.03368123874001422
0.23800000000000002,0,0,0.03396023075521573
0.24,0,0,0.03423783284730178
0.242,0,0,0.03451401929081879
0.244,0,0,0.03478876491166244
0.246,0,0,0.03506204507462397
0.248,0,0,0.035333835671255864
0.25,0,0,0.03560411310803726
0.252,0,0,0.03587285429484142
0.254,0,0,0.03614003663368653
0.256,0,0,0.03640563800776993
0.258,0,0,0.036669636770769544
0.26,0,0,0.03693201173641095
0.262,0,0,0.03719274216828905
0.264,0,0,0.037451807769938776
0.266,0,0,0.037709188675145264
0.268,0,0,0.03796486543849049
0.27,0,0,0.038218819026125506
0.272,0,0,0.03847103080676448
0.274,0,0,0.038721482542896375
0.276,0,0,0.03897015638220106
0.278,0,0,0.039217034849173396
0.28,0,0,0.03946210083694198
0.28200000000000003,0,0,0.03970533759928245
0.28400000000000003,0,0,0.039946728742817156
0.28600000000000003,0,0,0.0401862582193969
0.28800000000000003,0,0,0.04042391031866047
0.29,0,0,0.04065966966076796
0.292,0,0,0.040893521189299196
0.294,0,0,0.041125450164319406
0.296,0,0,0.0413554421556033
0.298,0,0,0.04158348303601224
0.3,0,0,0.04180955897502693
0.302,0,0,0.0420336564324233
0.304,0,0,0.04225576215209533
0.306,0,0,0.04247586315601733
0.308,0,0,0.04269394673834158
0.31,0,0,0.042910000459628415
0.312,0,0,0.043124012141211795
0.314,0,0,0.04333596985968159
0.316,0,0,0.04354586194150015
0.318,0,0,0.04375367695773073
0.32,0,0,0.043959403718889026
0.322,0,0,0.04416303126990532
0.324,0,0,0.04436454888520132
0.326,0,0,0.04456394606387615
0.328,0,0,0.0447612125249951
0.33,0,0,0.044956338202987264
0.332,0,0,0.04514931324314242
0.334,0,0,0.04534012799720567
0.336,0,0,0.04552877301907134
0.338,0,0,0.04571523906057021
0.34,0,0,0.04589951706734874
0.342,0,0,0.046081598174838305
0.34400000000000003,0,0,0.0462614737043124
